Name,x (pix),y (pix),X (m),Y (m),Orientation,URL,Redirect URL,Notes
Office3675,574,1014,18.8272,13.9728,N,http://www.cs.rit.edu/~robotlab/Office3675,http://www.cs.rit.edu/~ta,
Office3673,693,1014,22.7304,13.9728,N,http://www.cs.rit.edu/~robotlab/Office3673,http://www.cs.rit.edu/~ta,
Office3671,746,1014,24.4688,13.9728,N,http://www.cs.rit.edu/~robotlab/Office3671,http://www.cs.rit.edu/~ta,
Office3669,829,1014,27.1912,13.9728,N,http://www.cs.rit.edu/~robotlab/Office3669,http://www.cs.rit.edu/~tmh,
Office3659,912,1014,29.9136,13.9728,N,http://www.cs.rit.edu/~robotlab/Office3659,http://www.cs.rit.edu/~jsb,
Office3657,998,1014,32.7344,13.9728,N,http://www.cs.rit.edu/~robotlab/Office3657,http://www.cs.rit.edu/~spr,
Office3655,1081,1014,35.4568,13.9728,N,http://www.cs.rit.edu/~robotlab/Office3655,http://www.cs.rit.edu/~xl,
Office3651,1166,1014,38.2448,13.9728,N,http://www.cs.rit.edu/~robotlab/Office3651,http://www.cs.rit.edu/~zjb,
Office3647,1250,1014,41,13.9728,N,http://www.cs.rit.edu/~robotlab/Office3647,http://www.cs.rit.edu/~rsg,
Office3645,1338,1014,43.8864,13.9728,N,http://www.cs.rit.edu/~robotlab/Office3645,http://www.cs.rit.edu/~ib,
Office3637,1420,1014,46.576,13.9728,N,http://www.cs.rit.edu/~robotlab/Office3637,http://www.cs.rit.edu/~sps,
Office3635,1504,1014,49.3312,13.9728,N,http://www.cs.rit.edu/~robotlab/Office3635,http://www.cs.rit.edu/~ark,
Office3627,1586,1014,52.0208,13.9728,N,http://www.cs.rit.edu/~robotlab/Office3627,http://www.cs.rit.edu/~rlc,
Office3625,1647,1014,54.0216,13.9728,N,http://www.cs.rit.edu/~robotlab/Office3625,http://www.cs.rit.edu/~eh,
Office3621,1758,1014,57.6624,13.9728,N,http://www.cs.rit.edu/~robotlab/Office3621,https://www.cs.rit.edu/people/faculty,
Office3619,1841,1014,60.3848,13.9728,N,http://www.cs.rit.edu/~robotlab/Office3619,http://www.cs.rit.edu/~rkr,
Office3617,1924,1014,63.1072,13.9728,N,http://www.cs.rit.edu/~robotlab/Office3617,http://www.cs.rit.edu/~wrc,
Office3615,2005,1014,65.764,13.9728,N,http://www.cs.rit.edu/~robotlab/Office3615,http://www.cs.rit.edu/~pga/,
Office3575,575,263,18.86,38.6056,S,http://www.cs.rit.edu/~robotlab/Office3575,http://www.cs.rit.edu/people/adjuncts,
Office3573,696,263,22.8288,38.6056,S,http://www.cs.rit.edu/~robotlab/Office3573,http://www.cs.rit.edu/people/adjuncts,
Office3571,744,263,24.4032,38.6056,S,http://www.cs.rit.edu/~robotlab/Office3571,http://www.cs.rit.edu/people/adjuncts,
Office3569,830,263,27.224,38.6056,S,http://www.cs.rit.edu/~robotlab/Office3569,http://www.rit.edu/emcs/oce/,
Office3559,914,263,29.9792,38.6056,S,http://www.cs.rit.edu/~robotlab/Office3559,http://www.cs.rit.edu/people/adjuncts,
Office3557,999,263,32.7672,38.6056,S,http://www.cs.rit.edu/~robotlab/Office3557,http://www.cs.rit.edu/~mr,
Office3555,1082,263,35.4896,38.6056,S,http://www.cs.rit.edu/~robotlab/Office3555,http://www.cs.rit.edu/~mtf,
Office3551,1165,263,38.212,38.6056,S,http://www.cs.rit.edu/~robotlab/Office3551,http://www.cs.rit.edu/~rlaz,
Office3547,1252,263,41.0656,38.6056,S,http://www.cs.rit.edu/~robotlab/Office3547,http://www.cs.rit.edu/~jmk,
Office3545,1335,263,43.788,38.6056,S,http://www.cs.rit.edu/~robotlab/Office3545,http://www.cs.rit.edu/~rwd,
Office3537,1419,263,46.5432,38.6056,S,http://www.cs.rit.edu/~robotlab/Office3537,http://www.cs.rit.edu/~fxk,
Office3535,1504,263,49.3312,38.6056,S,http://www.cs.rit.edu/~robotlab/Office3535,http://www.cs.rit.edu/~bks,
Office3527,1587,263,52.0536,38.6056,S,http://www.cs.rit.edu/~robotlab/Office3527,http://www.cs.rit.edu/~jmg,
